"";"0-77-92-9 ";"0-107-35-7 ";"0-57-48-7 ";"0-50-99-7 ";"0-57-50-1 ";"0-58-08-2 ";"0-110-44-1 ";"0-65-85-0 ";"0-64-17-5 ";"1-00-00-0 "
"Monster1";7,288;3,864;45,757;65,363;1,003;0,295;0,235;0,143;1,053;112,123
"Monster2";7,358;3,996;11,844;32,123;64,098;0,303;0,23;0,135;1,08;108,065
"Monster3";7,195;3,914;8,058;28,079;72,193;0,29;0,23;0,14;1,066;108,33
"Monster4";7,101;4,136;9,655;29,464;69,903;0,312;0,238;0,156;1,015;109,022
"Monster5";7,42;0,814;8,775;29,034;70,199;0,146;0,244;0,141;0;108,008
"Monster6";7,21;3,882;9,119;29,351;71,512;0,3;0,232;0,151;1,086;109,982
"21562215";7,368;4,002;11,747;32,084;65,542;0,312;0,234;0,144;1,03;109,373
"21562216";7,364;3,992;11,714;32,154;65,476;0,306;0,23;0,144;1,039;109,344
"21562217";7,363;3,996;11,722;31,799;65,408;0,31;0,233;0,142;1,009;108,929
"21562218";7,354;3,976;8,239;28,367;72,437;0,296;0,232;0,136;1,087;109,043
"21562219";7,372;3,97;8,217;28,325;72,419;0,304;0,236;0,132;1,095;108,961
"21562220";7,368;3,992;8,293;28,33;72,49;0,304;0,232;0,136;1,091;109,113
"21562221";7,265;4,08;8,862;28,782;70,549;0,306;0,233;0,133;1,081;108,193
"21562222";7,284;4,092;8,971;28,737;70,631;0,312;0,231;0,133;1,102;108,339
"21562223";7,315;4,101;8,919;28,732;70,716;0,31;0,238;0,136;1,082;108,367
"21562224";7,267;4,101;8,862;28,856;70,694;0,307;0,237;0,141;1,087;108,412
"21562225";7,338;4,119;9,047;28,662;70,913;0,309;0,235;0,135;1,076;108,622
"21562226";7,319;4,11;8,992;28,819;70,923;0,309;0,233;0,137;1,087;108,734
"21562227";7,254;3,88;46,049;66,827;0;0,305;0,225;0,14;1,061;112,849
"21562228";7,286;3,899;46,248;66,956;0;0,303;0,224;0,141;1,082;113,171
"21562229";7,26;3,886;46,044;66,678;0;0,312;0,224;0,135;1,073;112,694
"21562230";7,376;4,037;46,337;66,644;0;0,31;0,232;0,14;1,071;112,954
"21562231";7,353;4,039;46,259;66,422;0;0,307;0,232;0,14;1,054;112,648
"21562232";7,353;4,036;46,199;66,389;0;0,307;0,232;0,131;1,069;112,553
"21562233";7,168;3,895;14,325;34,413;60,946;0,32;0,237;0,145;1,069;109,684
"21562234";7,209;3,902;14,384;34,484;61,127;0,323;0,229;0,143;1,069;109,995
"21562235";7,181;3,9;14,334;34,436;60,914;0,326;0,233;0,146;1,072;109,684
"21562236";7,269;3,937;12,828;32,704;63,203;0,313;0,235;0,138;1,1;108,735
"21562237";7,263;3,929;12,8;32,78;63,234;0,303;0,232;0,135;1,08;108,814
"21562238";7,279;3,943;12,763;32,753;63,227;0,307;0,235;0,132;1,098;108,743
"21562239";7,243;4,139;9,452;29,458;69,61;0,314;0,238;0,151;1,098;108,52
"21562240";7,289;4,146;9,454;29,528;69,628;0,322;0,244;0,156;1,07;108,61
"21562241";7,253;4,137;9,483;29,505;69,646;0,316;0,238;0,148;1,084;108,634
"21562242";7,29;4,037;7,051;26,741;72,871;0,304;0,235;0,137;1,118;106,663
"21562243";7,274;4,027;7,044;26,832;72,834;0,305;0,23;0,134;1,133;106,71
"21562244";7,304;4,052;7,07;26,983;73,131;0,299;0,234;0,136;1,149;107,184
